simID	famID	id1	id2	degree	error_type	phi_IBIS	phi_TRUFFLE	phi_IBDseq	phi_clusIBD
sim7801	def9	O	U	6	0.005	0.00088412916425274	0.000949597411295623	0.000915488219024001	0.000948581244956898
sim7801	def9	O	U	6	0.01	0.00088412916425274	0.000950153310480839	0.000915299995034257	0.000948581244956898
sim7801	def9	O	U	6	0.05	NA	NA	NA	0.00184053104215315
sim7801	def9	O	U	6	0.1	NA	NA	NA	0.00178575872973006
sim7801	def9	O	U	6	0.2	NA	NA	NA	0.000889978179132936
sim7801	def9	T	U	7	0	0.00184490301552638	0.000941658476056758	0.00090755362674752	0.00192733574223559
sim7801	def9	T	U	7	0.005	0.00184490301552638	0.000942118830069515	0.000907741850737264	0.00185654345760555
sim7801	def9	T	U	7	0.01	0.00149668185947826	NA	0.00067916635516769	0.0017518596499786
sim7801	def9	T	U	7	0.05	NA	NA	NA	0.00182142313683157
sim7801	def9	T	U	7	0.1	NA	NA	NA	0.000689883570303167
sim7801	def9	T	U	7	0.2	NA	NA	NA	NA
sim7802	def1	D	F	1	0	0.213249805485229	0.216689980123043	0.22086968313952	0.218752584985498
sim7802	def1	D	F	1	0.005	0.164179557903627	0.215716209783115	0.21760363645158	0.218654297058575
sim7802	def1	D	F	1	0.01	0.157350740135033	0.212349562714501	0.21387009974253	0.217517845080434
sim7802	def1	D	F	1	0.05	0.0686330165428909	0.0597329656616122	0.0904502912241467	0.213846842773618
sim7802	def1	D	F	1	0.1	0.0483417024389964	0.0500945250105949	0.0668709048380013	0.242982678468024
sim7802	def1	D	F	1	0.2	0.0150722784029284	0.00383585203871119	0.0553482686825331	0.165552017402007
sim7802	def1	D	O	2	0	0.134893688927797	0.134205320269633	0.132938332392257	0.135683860967216
sim7802	def1	D	O	2	0.005	0.132545959117141	0.133527696534704	0.130615515724742	0.135575539233719
sim7802	def1	D	O	2	0.01	0.129466351027109	0.131340936800786	0.129393239513707	0.135467343793567
sim7802	def1	D	O	2	0.05	0.0234565054792681	0.00479242424759632	0.0168520163101863	0.12464066637581
sim7802	def1	D	O	2	0.1	0.00135493894580964	NA	0.00386538496465901	0.117716791757447
sim7802	def1	D	O	2	0.2	0.000752899346487524	NA	NA	0.11137974134341
sim7802	def1	D	S	0	0	NA	NA	NA	NA
sim7802	def1	D	S	0	0.005	NA	NA	NA	NA
sim7802	def1	D	S	0	0.01	NA	NA	NA	NA
sim7802	def1	D	S	0	0.05	NA	NA	NA	NA
sim7802	def1	D	S	0	0.1	NA	NA	NA	NA
sim7802	def1	D	S	0	0.2	NA	NA	NA	NA
sim7802	def1	D	T	3	0	0.0851125632877108	0.084999130842938	0.0850157375493631	0.0842045923022781
sim7802	def1	D	T	3	0.005	0.0822250519806996	0.0844768983021267	0.0832330245391533	0.0840510843035099
sim7802	def1	D	T	3	0.01	0.0821252865779731	0.0825808477843018	0.0826691526304511	0.0835403483658635
sim7802	def1	D	T	3	0.05	0.0113157997345043	0.00474488618133558	0.00653317920333549	0.0815659957128534
sim7802	def1	D	T	3	0.1	NA	NA	0.00099063936128087	0.0738958203581903
sim7802	def1	D	T	3	0.2	NA	NA	NA	0.0666958047304745
sim7802	def1	D	U	4	0	0.0372395219062019	0.0357473229393562	0.036726375190136	0.0360078012285876
sim7802	def1	D	U	4	0.005	0.0359996605193163	0.0346192384599824	0.0353840290111972	0.035944999647308
sim7802	def1	D	U	4	0.01	0.0326758241155477	0.0324352321642157	0.029506539237549	0.0357329211549337
sim7802	def1	D	U	4	0.05	0.00728116700680314	NA	0.00584546650620984	0.0349804286571624
sim7802	def1	D	U	4	0.1	NA	NA	0.00197943339784457	0.0303775214729306
sim7802	def1	D	U	4	0.2	NA	NA	NA	0.0266450702438988
sim7802	def1	F	S	0	0	NA	NA	NA	0.00109790983730403
sim7802	def1	F	S	0	0.005	NA	NA	NA	NA
